ax;ay;az;gx;gy;gz;t
2736;-5688;14256;-1333;71;1055;74589
2664;-6084;14404;-895;-38;1031;74674
2640;-6444;14348;-709;-63;516;74760
2604;-6548;14048;-474;-44;60;74845
2840;-6256;13964;-351;78;226;74930
2492;-6520;14008;-305;261;12;75016
2556;-6212;14120;263;270;-231;75101
2440;-5980;14164;301;179;92;75186
2568;-6096;14104;552;96;451;75271
2744;-6020;14064;158;230;465;75357
2676;-6236;13808;-2;470;-187;75442
2644;-6376;14672;344;631;-546;75527
3348;-7580;22360;15304;571;-1712;75613
2296;-3252;10336;23625;-886;-3481;75698
1860;4076;12508;-868;936;-314;75783
2064;1420;13556;-4308;726;1442;75868
2356;-492;14692;-11742;615;1347;75954
2100;-2560;15288;-5371;-109;-93;76039
2340;-3252;15372;-4598;46;216;76124
2288;-4160;13760;-4745;558;634;76209
2400;-5268;14564;-4329;507;474;76295
2036;-6200;15144;-2873;195;373;76380
2120;-6080;14364;-1207;198;571;76465
2064;-6236;14236;-494;39;270;76551
1900;-6368;14120;-472;104;120;76636
2168;-6472;14516;-392;153;-78;76721
1796;-6456;14032;139;11;143;76806
1912;-6212;13880;-416;119;-36;76892
2068;-6236;13988;-1175;346;-231;76977
2180;-6800;13988;-1352;483;-585;77062
1688;-6608;14100;-383;300;-159;77148
1892;-6732;14160;214;-120;523;77233
2264;-7208;13808;355;103;145;77318
2364;-8024;23468;11782;675;-602;77403
1456;-4448;4704;30579;-465;-1632;77489
2464;4028;12644;-910;-268;1153;77574
1708;1756;13784;-6920;126;603;77659
2160;-480;13548;-13898;-207;-235;77745
1996;-3560;15388;-11325;529;-1132;77830
2088;-5520;15124;-6245;535;-264;77915
2016;-6692;14128;-3482;301;583;78000
1992;-7568;14420;-2133;90;574;78086
1752;-6984;14152;-653;-984;1016;78171
2444;-7052;13860;74;-287;1410;78256
2544;-7044;13680;10;179;190;78342
2152;-6676;13868;-202;72;-223;78427
1912;-7148;13924;-183;-43;272;78512
2056;-6960;13768;-105;-315;240;78597
2320;-6900;13692;163;-337;648;78683
2268;-7160;13848;227;-176;134;78768
2288;-7404;13816;538;-95;-318;78853
2236;-6868;13988;1138;110;-433;78938
2240;-6180;14156;1576;-74;-61;79024
2240;-5928;14308;1412;38;219;79109
2416;-5600;13820;828;124;-39;79194
2012;-5372;14076;64;450;174;79280
2176;-5620;14176;-864;303;320;79365
2532;-6752;13988;-2012;131;-135;79450
2228;-6684;14100;-1095;185;-601;79535
2188;-6344;14364;412;180;53;79621
2396;-6180;14188;959;7;378;79706
2248;-5948;13876;278;450;-111;79791
2124;-5692;13608;-922;212;-131;79877
2624;-4472;8884;-9658;1762;310;79962
2416;-10972;12288;-20039;3459;979;80047
536;-16788;16028;-1073;1643;-1490;80132
804;-11244;11912;5489;-680;-92;80218
1200;-9752;11672;5681;-1177;1032;80303
1812;-8976;11908;4167;-1103;1017;80388
1796;-8552;12756;2941;-550;554;80474
1728;-7640;13556;2665;-708;355;80559
1968;-7024;13252;2252;-790;476;80644
2008;-7208;13280;883;-326;368;80729
